Area,Price
1043,1300000
908,750000
1425,1495000
1984,2700000
924,1530000
1250,460000
1032,532000
1200,1050000
2661,3500000
2016,1500000
1798,848000
761,1000000
780,888000
4296,4888000
1688,1000000
1619,210000
398,525000
2615,2300000
1167,1450000
1407,2500000
938,171000
1265,871500
859,900000
1308,1020000
1429,1410500
1771,951000
1452,430000
1115,680000
2378,1440000
2063,1700000
1970,234000
1250,700000
970,744000
911,1100000
1416,1325000
2398,2525000
1880,2300000
1212,775000
1125,1457000
1700,1525000
1164,550000
4808,3800000
2520,1900000
706,620000
903,800000
1593,872500
2060,1535000
1902,1600000
2349,1625000
2435,2050000
1207,885000
1106,960000
935,825000
968,1065000
1950,1925000
1703,1250000
1463,1950000
1200,609000
2650,2350000
1700,1770000
2850,2800000
1147,1350000
1297,725000
1789,850000
1254,860000
713,885000
1995,1110000
1000,760000
2250,227500
1806,1300000
1200,810000
884,850000
2100,1950000
883,1030000
875,565000
697,762000
1539,950000
1118,1415000
1670,7500000
550,650000
1440,1275000
1480,1250000
2193,1225000
417,555000
2596,1900000
2275,1558000
969,658000
840,738000
1726,950000
1200,961000
950,695500
1028,976000
376,502000
800,675000
756,850000
1111,1650000
1325,860000
852,1125000
4749,5100000
1591,1800000
1950,4500000
1465,1370000
1065,910000
1105,1475000
1201,1475000
450,640000
3291,4200000
1015,920000
941,945000
962,1250000
1190,1530000
1332,780000
590,1193000
1352,1400000
2610,2210000
2451,2400000
1362,890000
1011,1325000
765,815000
1990,1240000
1824,1700000
3900,3750000
1875,417000
2837,2600000
787,825000
1577,1680000
805,578000
1193,750000
1175,1150000
1125,638000
2200,851000
1437,1175000
2160,1505000
1000,1290000
875,1000000
1180,1375000
1092,1262500
1525,1300000
923,876500
1088,875000
952,1125000
1406,1150000
5085,1550000
1546,1075000
1125,1150000
958,1150000
1038,1400000
1717,1963000
2002,2350000
1175,720000
1450,1200000
1712,1300000
1753,950000
1077,1045000
1175,1000000
2193,2400000
2230,7450000
1594,935000
1640,1950000
1290,1380000
1210,700000
1465,990000
3851,6500000
4158,2240000
1535,1265000
3820,8400000
995,680000
1575,1250000
1291,1389000
2008,800000
3974,2400000
660,665000
1480,570000
1365,1050000
1625,1310000
541,695000
1056,1200000
900,825000
775,1250000
1087,720000
2781,1054000
1166,1570000
1348,1370000
723,718000
1705,1625000
4000,1706000
1375,1900000
1628,1200000
2718,5500000
1668,1495000
1000,930000
1125,1040000
592,530000
1010,750000
1056,975000
1488,1475000
2058,2278000
2323,2080000
2000,2500000
750,555000
823,750000
642,655000
2150,1735000
1158,650000
1325,700000
1061,838000
1095,880000
741,760000
1100,1420000
800,1100000
2121,1325000
2100,1425000
